Traffic_Level,ID,Delivery_person_ID,weather_description,Type_of_order,Type_of_vehicle,Delivery_person_Age,Delivery_person_Rating,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,temperature,humidity,precipitation,Distance_km,DeliveryTimeMins,RestaurantID,CustomerID,OrderID,Age,AgeGroup,Gender,IncomeLevel,OrderFrequency,Location,PreferredCuisine,Area,City,RestaurantName,Price,AvgRating,Total ratings,FoodType,Address,Delivery time,ReducedTime,Delivery Band,Reduced DeliveryTime
Very High,B403,MUMRES07DEL02,smoke,Drinks,electric_scooter,24,5,19.091.458,72.827.808,19.221.458,72.957.808,26.78,44,0,33.03,77.05,453640,8094,B403,39,36-45,Female,Medium,Low,Bangalore,Desserts,Sarthana,Surat,Modi S Punjabi Tadka,250,2.9,80,"Punjabi,Indian",Sarthana,63,69.345,45+ mins,69.345
Very High,BF2E,DEHRES03DEL03,clear sky,Meal,electric_scooter,29,4.6,30.335.259,78.053.162,30.425.259,78.143.162,10.78,78,0,19.24,59.05,318511,8103,BF2E,20,18-25,Male,Low,High,Bangalore,Lucknowi,Narolgam,Ahmedabad,Karnavati Juice Center,100,2.9,80,"Street Food,Juices",Isanpur,59,53.145,45+ mins,53.145
Very High,E1D6,KOLRES18DEL03,haze,Snack,motorcycle,32,3.8,22.569.367,88.433.187,22.659.367,88.523.187,23.03,83,0,22.58,58.8,179457,8107,E1D6,52,46+,Male,Low,Medium,Bangalore,Tandoor,Ghatkopar East,Mumbai,Agrawals Juice And Fast Food Centre,300,4.7,100,Fast Food,Ghatkopar East,41,52.92,31-45 mins,52.92
Very High,4960,JAPRES06DEL03,clear sky,Snack,motorcycle,25,4.6,26.911.927,75.797.282,27.051.927,75.937.282,19.94,47,0,28.27,51.75,230143,8120,4960,42,36-45,Female,Low,Medium,Bangalore,North Indian,Vasanth Nagar,Bangalore,The Food Corner,150,4.5,20,"Chinese,North Indian",Starbucks Cbd,38,46.575,31-45 mins,46.575
Very High,3238,CHENRES05DEL01,mist,Buffet,motorcycle,26,4.9,13.058.616,80.264.151,13.098.616,80.304.151,26.45,88,0,13.7,51.3,108561,8128,3238,56,46+,Male,Medium,Medium,Bangalore,Desserts,Powai,Mumbai,Temptationz Cakes & More,500,3.9,100,Desserts  Bakery  Fast Food,Powai,59,46.17,45+ mins,46.17
Very High,C2AE,DEHRES03DEL03,clear sky,Buffet,scooter,30,4.1,30.335.259,78.053.162,30.475.259,78.193.162,9.46,81,0,43.19,100.25,160975,8130,C2AE,47,46+,Male,Medium,High,Bangalore,South Indian,Vastrapur,Ahmedabad,Santosh Fast Food,200,2.9,80,Fast Food,Vastrapur,49,90.225,45+ mins,90.225
Very High,6DB0,CHENRES05DEL01,scattered clouds,Snack,scooter,21,4.6,13.058.616,80.264.151,13.168.616,80.374.151,26.41,92,0,24.34,65.35,10113,8136,6DB0,59,46+,Male,High,High,Bangalore,Desserts,Anna Nagar,Chennai,Coco Jaunt 1728,500,4.3,50,"Bakery,Cafe",4Th Main Road,68,58.815,45+ mins,58.815
Very High,591C,JAPRES12DEL03,clear sky,Snack,motorcycle,23,4.5,26.902.908,75.792.934,27.042.908,75.932.934,19.71,47,0,29.44,52.55,337841,8138,591C,43,36-45,Male,High,High,Bangalore,Mughlai,Himayatnagar,Hyderabad,Grabz,250,3.8,50,"Italian,Continental",Himayath Nagar,35,47.295,31-45 mins,47.295
Very High,BA31,CHENRES09DEL01,scattered clouds,Buffet,scooter,28,5,13.044.694,8.026.147,13.154.694,8.037.147,26.42,87,0,21.39,61.6,434969,8144,BA31,60,46+,Male,High,Low,Bangalore,Chinese,Marol Sakinaka,Mumbai,Meet And Eat Snacks Corner,160,2.9,80,South Indian,Marol Sakinaka,48,55.44,45+ mins,55.44
Very High,B82A,MUMRES12DEL01,clear sky,Meal,motorcycle,39,4,19.207.222,72.972.281,19.317.222,73.082.281,26.97,50,0,18.37,48.2,340088,8154,B82A,40,36-45,Female,High,Medium,Bangalore,Biryani,Magob,Surat,Hotel Kesar,200,2.9,80,Indian,Parvat Patiya,59,43.38,45+ mins,43.38
Very High,8D85,RANCHIRES16DEL02,clear sky,Snack,scooter,38,4.6,23.371.292,85.327.872,23.501.292,85.457.872,17.73,67,0,26.18,50.95,314832,8160,8D85,39,36-45,Female,Medium,Medium,Bangalore,Punjabi,Chintadripet,Chennai,Murudis Lunch Home,150,4.4,100,"South Indian,Chinese",Egmore,31,45.855,31-45 mins,45.855
Very High,A540,HYDRES20DEL01,broken clouds,Meal,motorcycle,31,4.9,17.483.216,78.552.111,17.593.216,78.662.111,21.33,67,0,28.06,52.1,216561,8188,A540,38,36-45,Male,Medium,Low,Bangalore,Biryani,Lake Town,Kolkata,Him Cream,100,2.9,80,Ice Cream,Lake Town,77,46.89,45+ mins,46.89
Very High,574E,HYDRES13DEL01,broken clouds,Snack,scooter,39,4.8,17.431.477,7.840.035,17.541.477,7.851.035,21.01,64,0,25.41,60.15,407399,8194,574E,25,18-25,Female,High,Low,Bangalore,Tandoor,Kondhwa,Pune,Punjabi Non Veg,300,2.9,80,"North Indian,Fast Food,Chinese,Mughlai",Kondhwa,75,54.135,45+ mins,54.135
Very High,B7CD,CHENRES02DEL03,overcast clouds,Snack,scooter,34,4.7,13.086.438,80.220.672,13.146.439,80.280.672,28.26,82,0,13.96,53,84962,9011,B7CD,21,18-25,Male,High,Medium,Bangalore,Chinese,Bidhannagar,Kolkata,Curry Nation,500,2.9,80,"Indian,Chinese",Sector-3,68,47.7,45+ mins,47.7
Very High,CD24,KNPRES04DEL03,clear sky,Drinks,motorcycle,39,3.7,26.471.529,80.313.458,26.611.529,80.453.458,19.97,56,0,29.39,63.6,93695,8215,CD24,60,46+,Male,Medium,Medium,Bangalore,Lucknowi,Piplod,Surat,Shree Ganesh Omlet,300,2.9,80,Fast Food,Um Road Vesu,63,57.24,45+ mins,57.24
Very High,7F0B,INDORES03DEL02,clear sky,Meal,motorcycle,38,4.6,22.751.857,75.866.699,22.881.857,75.996.699,17.3,53,0,26.88,47.5,54972,8222,7F0B,28,26-35,Male,Low,Low,Bangalore,Biryani,George Town,Chennai,Hotel Kalyana Bhavan,250,2.9,80,Biryani,Parrys Corner,50,42.75,45+ mins,42.75
Very High,D88C,KOLRES12DEL01,haze,Meal,motorcycle,36,3.8,22.551.084,88.354.127,22.661.084,88.464.127,28.01,65,0,24.13,56.45,24075,8902,D88C,38,36-45,Male,Medium,Medium,Bangalore,Desserts,Dhankawadi,Pune,Cafe Momos,200,4.3,100,"Fast Food,Beverages",Katraj,66,50.805,45+ mins,50.805
Very High,7FA8,HYDRES05DEL01,overcast clouds,Buffet,motorcycle,34,4.3,17.433.809,78.386.744,17.543.809,78.496.744,21.13,64,0,24.65,56.75,65033,8251,7FA8,43,36-45,Female,Medium,Low,Bangalore,South Indian,Cossipore,Kolkata,Chandigarh Hotel,300,4.1,500,Indian,Near Kolkata Shastro Police,62,51.075,45+ mins,51.075
Very High,56FC,MUMRES13DEL02,clear sky,Snack,motorcycle,27,4.9,19.178.321,72.834.715,19.308.321,72.964.715,27.04,48,0,42.6,99.85,449055,8257,56FC,18,18-25,Female,High,Medium,Bangalore,Mughlai,Indiranagar,Bangalore,Anjana Iyengar Bakery And Chats,200,2.9,80,"Bakery,Desserts,Snacks",Indiranagar,57,89.865,45+ mins,89.865
Very High,5F64,CHENRES09DEL01,scattered clouds,Snack,motorcycle,31,4.7,13.044.694,8.026.147,13.154.694,8.037.147,26.42,87,0,21.39,63.2,440699,8258,5F64,60,46+,Male,Medium,Medium,Bangalore,Biryani,Vastral,Ahmedabad,Rebecca'S Cafe,350,2.9,80,"Fast Food,Combo,Beverages,Street Food",Vastral,53,56.88,45+ mins,56.88
Very High,D7DC,AGRRES12DEL02,clear sky,Drinks,electric_scooter,38,3.6,27.165.108,78.015.053,27.295.108,78.145.053,21.4,53,0,39.69,62.75,40847,8268,D7DC,31,26-35,Male,Low,High,Bangalore,Desserts,Gulbai Tekra,Ahmedabad,Havmor Havfunn,250,4.6,20,"Ice Cream,Ice Cream Cakes,Desserts",Saffron Tower,25,56.475,21-30 mins,56.475
Very High,C57D,DEHRES04DEL03,clear sky,Snack,motorcycle,34,4.6,30.340.722,78.060.221,30.480.722,78.200.221,11.65,81,0,44.13,104.45,28897,8269,C57D,43,36-45,Female,Low,Low,Bangalore,Gujarati,Sion,Mumbai,Sbarro - New York Pizza,600,3.7,500,Italian  Pizzas  Desserts  Beverages  Combo,D.J. Road,46,94.005,45+ mins,94.005
Very High,63A1,PUNERES17DEL01,clear sky,Buffet,motorcycle,26,4.9,18.530.963,73.828.972,18.640.963,73.938.972,19.22,65,0,27.75,61.75,18012,8276,63A1,46,46+,Female,High,High,Bangalore,Lucknowi,Basheer Bagh,Hyderabad,Cafe Coffee Day,300,4.1,100,Beverages  Snacks  Desserts,Sri Siva Rama Towers,40,55.575,31-45 mins,55.575
Very High,34DB,SURRES19DEL02,clear sky,Drinks,scooter,34,4.6,21.149.669,72.772.629,21.279.669,72.902.629,22.85,43,0,25.4,55.05,321975,8288,34DB,25,18-25,Male,Medium,Low,Bangalore,Mughlai,Narotam Nagar,Surat,Tawah,400,4.1,100,"North Indian,Biryani,Tandoor,Barbecue",Adajan,44,49.545,31-45 mins,49.545
Very High,60D,MYSRES15DEL02,scattered clouds,Buffet,motorcycle,29,4.6,12.352.058,7.660.665,12.482.058,7.673.665,18.03,82,0,28.41,51.8,19871,8297,60D,42,36-45,Male,Low,High,Bangalore,Mughlai,Sion,Mumbai,Aparna,750,4.5,50,"Mughlai,North Indian,Chinese,South Indian",Sion Railway Station,50,46.62,45+ mins,46.62
Very High,A06D,CHENRES18DEL01,scattered clouds,Snack,motorcycle,34,4.5,12.981.615,80.231.598,13.091.615,80.341.598,26.48,87,0,26.54,73.5,218894,8305,A06D,50,46+,Male,Medium,Medium,Bangalore,South Indian,Magarpatta,Pune,Amhi Kolhapuri,200,3.6,50,"Maharashtrian,North Indian,Chinese,Tandoor",Hadapsar,38,66.15,31-45 mins,66.15
Very High,B95D,BANGRES010DEL02,mist,Meal,scooter,22,4.2,12.933.298,77.614.293,13.063.298,77.744.293,19.19,93,0,29.5,55.6,34147,8310,B95D,49,46+,Female,Low,High,Bangalore,Chinese,Narayanguda,Hyderabad,K&C Bakers &Confectioners,200,4,100,Bakery,Venkata Swamy Nagar,30,50.04,21-30 mins,50.04
Very High,C511,DEHRES06DEL02,clear sky,Snack,scooter,26,4.7,30.361.281,78.068.022,30.441.281,78.148.022,9.11,79,0,25.79,76.25,406018,8314,C511,38,36-45,Female,Medium,Medium,Bangalore,Chinese,Central Bangalore,Bangalore,Bullet Biryani,280,4.4,20,"Biryani,Hyderabadi,Mughlai",Central Bangalore,38,68.625,31-45 mins,68.625
Very High,7C2B,INDORES01DEL01,clear sky,Drinks,motorcycle,27,4.8,22.695.207,75.866.059,22.805.207,75.976.059,17.18,53,0,24.91,57.25,368434,8315,7C2B,56,46+,Female,Medium,Low,Bangalore,Lucknowi,Ameerpet,Hyderabad,Sai Ganesh Tiffins,50,4,100,Street Food  South Indian,Ameerpet,64,51.525,45+ mins,51.525
Very High,7939,SURRES16DEL01,clear sky,Buffet,motorcycle,38,4.5,21.160.437,72.774.209,21.270.437,72.884.209,22.88,43,0,24.59,48,110742,8326,7939,59,46+,Male,High,High,Bangalore,Chinese,Afzal Gunj,Hyderabad,Jalebiwalas Mithai Bhandar,300,3.8,50,Desserts  Bakery,Begum Bazaar,38,43.2,31-45 mins,43.2
Very High,2ED3,JAPRES19DEL02,clear sky,Drinks,motorcycle,36,5,26.913.726,7.575.282,27.043.726,7.588.282,19.8,46,0,26.65,59.95,381336,8329,2ED3,44,36-45,Female,Medium,Medium,Bangalore,Tandoor,Rohini,Delhi,Healthy Tree,350,4.1,100,"Beverages,Healthy Food,Salads",Rohini,46,53.955,45+ mins,53.955
Very High,B18D,PUNERES02DEL03,clear sky,Drinks,motorcycle,28,4.9,1.855.144,73.804.855,1.864.144,73.894.855,22.89,48,0,20.02,56.45,381336,9090,B18D,18,18-25,Female,Medium,Medium,Bangalore,Gujarati,Rohini,Delhi,Healthy Tree,350,4.1,100,"Beverages,Healthy Food,Salads",Rohini,46,50.805,45+ mins,50.805
Very High,3C4E,SURRES17DEL03,clear sky,Drinks,scooter,39,4.9,21.149.569,72.772.697,21.239.569,72.862.697,22.97,43,0,20.14,56.8,96511,8336,3C4E,39,36-45,Female,Medium,Low,Bangalore,Lucknowi,Ashok Nagar,Bangalore,Oye Kulcha!,200,2.9,80,"North Indian,Punjabi,Street Food,South Indian",Magrath Road,37,51.12,31-45 mins,51.12
Very High,CCB3,AURGRES14DEL02,mist,Meal,scooter,39,4.1,19.875.016,75.322.405,20.005.016,75.452.405,17.08,82,0,29.84,78.05,303939,8353,CCB3,29,26-35,Male,Low,Medium,Bangalore,Tandoor,Khairtabad,Hyderabad,Astoria Restaurant,300,3.7,20,"Biryani,Chinese,Indian",Saifabad,40,70.245,31-45 mins,70.245
Very High,7D6,PUNERES11DEL02,clear sky,Drinks,motorcycle,32,4,18.533.811,73.899.315,18.613.811,73.979.315,19.26,65,0,19.65,55.95,159263,8367,7D6,29,26-35,Male,Medium,Low,Bangalore,Lucknowi,Paldi,Ahmedabad,Kutchi King,200,4.1,100,Street Food,Paldi,29,50.355,21-30 mins,50.355
Very High,7B1E,COIMBRES07DEL01,mist,Meal,motorcycle,26,4.4,1.096.185,76.971.082,1.107.185,77.081.082,25.02,73,0,23.03,49.4,106424,8377,7B1E,25,18-25,Female,Medium,Low,Bangalore,Chinese,Ayanavaram,Chennai,Siva'S Foodie Paradise,99,2.9,80,Fast Food,Ayanavaram,55,44.46,45+ mins,44.46
Very High,D45D,DEHRES07DEL01,clear sky,Meal,motorcycle,20,4.1,30.362.686,7.806.889,30.472.686,7.817.889,8.2,80,0,33.79,80.6,413816,8382,D45D,35,26-35,Female,Medium,High,Bangalore,Lucknowi,Rohini,Delhi,Cheesecake & Co,350,4.3,50,Bakery,Nsp,40,72.54,31-45 mins,72.54
Very High,1464,PUNERES04DEL02,clear sky,Snack,motorcycle,30,4.6,1.851.421,73.838.429,1.864.421,73.968.429,19.29,65,0,23.65,63.35,426282,8400,1464,19,18-25,Female,Low,High,Bangalore,Chinese,Kurla,Mumbai,Delicious Chinese,250,2.9,80,"North Indian,Chinese",Kurla,34,57.015,31-45 mins,57.015
Very High,4.60E+03,HYDRES09DEL02,broken clouds,Buffet,motorcycle,20,4.9,17.431.668,78.408.321,17.561.668,78.538.321,21.12,65,0,32.56,57.8,357476,8404,4.60E+03,59,46+,Female,Medium,Low,Bangalore,Biryani,Rohini,Delhi,Dilli 6 Biryani,250,2.9,80,"Indian,Biryani,Chinese,Combo",Rohini,44,52.02,31-45 mins,52.02
Very High,8E5D,SURRES17DEL02,clear sky,Meal,scooter,27,4.5,21.149.569,72.772.697,21.279.569,72.902.697,22.85,43,0,25.39,48.1,68605,8405,8E5D,28,26-35,Male,Medium,Low,Bangalore,South Indian,Lal Darwaja,Ahmedabad,Lucky Restaurant,300,4.4,20,North Indian,Laldarawaja,36,43.29,31-45 mins,43.29
Very High,D818,LUDHRES11DEL02,clear sky,Snack,scooter,27,4.7,30.893.081,75.821.495,31.023.081,75.951.495,18.53,58,0,43.73,58.55,177336,8407,D818,26,26-35,Male,High,Medium,Bangalore,Chinese,Tondiarpet,Chennai,Delicious Pizza,200,2.9,80,Fast Food,Washermenpet,81,52.695,45+ mins,52.695
Very High,114B,PUNERES12DEL01,clear sky,Meal,scooter,29,4.6,18.520.016,73.830.547,18.630.016,73.940.547,19.14,65,0,20.33,57.15,190848,8419,114B,54,46+,Male,Medium,Low,Bangalore,Tandoor,Bowenpally,Hyderabad,Trio-La Patisserie.,300,2.9,80,Desserts,Kharkhana & Trimulgherry,75,51.435,45+ mins,51.435
Very High,41ED,COIMBRES010DEL02,mist,Snack,scooter,26,4.8,11.003.008,7.697.544,11.133.009,7.710.544,25.18,73,0,24.82,54.7,32713,8434,41ED,41,36-45,Male,Medium,Low,Bangalore,Punjabi,Adikmet,Hyderabad,Rammy Fast Food,200,4,100,Fast Food,Adikmet Main Road,35,49.23,31-45 mins,49.23
Very High,7BF3,BANGRES11DEL02,mist,Snack,scooter,36,5,12.934.365,77.616.155,13.064.365,77.746.155,19.17,93,0,28.15,60.65,419255,8438,7BF3,28,26-35,Female,Low,High,Bangalore,Punjabi,Vastrapur,Ahmedabad,Wakka Makka,400,4.6,20,"Chinese,Asian,Beverages",Vastrapur,48,54.585,45+ mins,54.585
Very High,D5E9,DEHRES17DEL02,clear sky,Drinks,motorcycle,33,4.4,30.327.968,78.046.106,30.457.968,78.176.106,6.77,80,0,35.72,91.2,84140,8440,D5E9,20,18-25,Female,High,Medium,Bangalore,Biryani,Kodungaiyur,Chennai,Yunoos Restaurant,300,4.2,100,"South Indian,Chinese",Perambur,57,82.08,45+ mins,82.08
Very High,BC1E,HYDRES15DEL02,broken clouds,Snack,motorcycle,21,4.9,1.745.971,78.368.855,1.753.971,78.448.855,21.14,65,0,22.49,57.15,455957,8445,BC1E,58,46+,Male,High,Medium,Bangalore,Tandoor,Ameerpet,Hyderabad,Sri Sai Tiffins And Chat,250,2.9,80,South Indian,Ameerpet,73,51.435,45+ mins,51.435
Very High,E011,KOCRES07DEL01,mist,Meal,motorcycle,23,5,9.985.697,76.281.128,10.095.697,76.391.128,23.9,88,0,30.29,50.9,18551,8446,E011,23,18-25,Female,Low,High,Bangalore,Tandoor,Nandanam,Chennai,Chamiers Cafe,1000,4.5,50,"Continental,Italian",Chamiers Road,66,45.81,45+ mins,45.81
Very High,46C2,PUNERES02DEL03,clear sky,Meal,scooter,24,4.2,1.855.144,73.804.855,1.864.144,73.894.855,22.89,48,0,21.17,48.45,20330,8556,46C2,44,36-45,Female,Low,Medium,Bangalore,Punjabi,Karve Nagar,Pune,Bhujbal Bandhu-Hotel Apulki,400,4.1,100,Maharashtrian,Karve Nagar,61,43.605,45+ mins,43.605
Very High,9BA6,CHENRES07DEL03,overcast clouds,Meal,motorcycle,34,4.6,13.081.878,80.248.519,13.171.878,80.338.519,28.34,82,0,22.32,60.85,128802,9164,9BA6,23,18-25,Male,Medium,Low,Bangalore,South Indian,Mahadev Nagar Tekra,Ahmedabad,Krishna Chinese Bhajipav & Punjabi,200,3.6,100,"South Indian,Chinese,Fast Food",Vastral,47,54.765,45+ mins,54.765
Very High,CADD,KOCRES15DEL02,mist,Meal,motorcycle,28,3.2,10.027.364,76.308.258,10.157.364,76.438.258,26.99,89,0,28.81,50.75,54314,8486,CADD,19,18-25,Female,High,Medium,Bangalore,Desserts,Elgin,Kolkata,The Salt House,1200,4.5,50,"Continental,Italian",Near Fbb India'S Fashion Hub,59,45.675,45+ mins,45.675
Very High,A1BE,JAPRES07DEL03,haze,Snack,scooter,24,4.8,26.766.536,75.837.333,26.906.536,75.977.333,24.07,46,0,38.54,52.75,376990,8497,A1BE,56,46+,Male,Medium,Medium,Bangalore,Snacks,Perambur,Chennai,Delight Cake Treat,400,2.9,80,"Bakery,Desserts",Perambur,53,47.475,45+ mins,47.475
Very High,94CC,CHENRES16DEL02,overcast clouds,Meal,scooter,20,2.7,13.049.645,80.242.268,13.179.645,80.372.268,28.45,86,0,29.98,67.15,208734,8504,94CC,19,18-25,Male,High,Medium,Bangalore,Mughlai,Dhankawadi,Pune,Burger N More,200,3.2,20,Indian,Dhankawadi,74,60.435,45+ mins,60.435
Very High,2D7A,CHENRES14DEL02,overcast clouds,Drinks,motorcycle,29,5,13.026.279,80.174.568,13.156.279,80.304.568,28.36,81,0,37.93,65,64972,8508,2D7A,41,36-45,Female,Low,Medium,Bangalore,Chinese,Banjara Hills,Hyderabad,24/7 Gallery Cafe - Hyatt Place Hyderabad,1500,2.9,80,"Italian,Indian,Continental",Hyatt Place Road No 1 Banjara Hills,66,58.5,45+ mins,58.5
Very High,90F4,PUNERES16DEL02,clear sky,Meal,motorcycle,31,4.8,18.536.718,73.830.327,18.666.719,73.960.327,22.91,48,0,28.81,63.35,352561,8513,90F4,29,26-35,Male,Low,High,Bangalore,Chinese,Vastrapur,Ahmedabad,Bhog,200,2.9,80,"North Indian,Rajasthani,Chaat,Fast Food",Vastrapur,49,57.015,45+ mins,57.015
Very High,53A9,HYDRES03DEL02,haze,Buffet,scooter,25,5,17.422.819,78.449.578,17.552.819,78.579.578,23.68,57,0,40.03,55.55,62876,8531,53A9,34,26-35,Female,Medium,Medium,Bangalore,Tandoor,Rohini,Delhi,Lunchbox,200,4.1,100,"North Indian,Punjabi,Combo,Biryani,Healthy Food,Jain,Thalis,Indian,Mughlai,Desserts",Sector 8,40,49.995,31-45 mins,49.995
Very High,2240,INDORES08DEL02,clear sky,Meal,motorcycle,30,4.9,22.725.748,75.898.497,22.855.747,76.028.497,23.3,44,0,30.35,55.45,348290,8532,2240,31,26-35,Female,Medium,Low,Bangalore,Tandoor,University Area,Ahmedabad,The Poutinerie,200,2.9,80,"Indian,North Indian",Navrangpura,34,49.905,31-45 mins,49.905
Very High,77D1,JAPRES20DEL02,clear sky,Snack,scooter,37,3.8,26.956.431,75.776.649,27.086.431,75.906.649,23.53,29,0,31.93,67.55,389139,8539,77D1,26,26-35,Female,Medium,Medium,Bangalore,Lucknowi,Central Bangalore,Bangalore,India Chai Lounge,250,2.9,80,"Fast Food,Beverages",Central Bangalore,47,60.795,45+ mins,60.795
Very High,3A9F,JAPRES12DEL02,clear sky,Drinks,motorcycle,39,4.1,26.902.908,75.792.934,27.032.908,75.922.934,23.79,29,0,30.85,65.95,43996,8541,3A9F,46,46+,Male,Low,Medium,Bangalore,Mughlai,Jamalia,Chennai,Hunger Square,250,4.5,20,"Italian,Fast Food",Perambur,49,59.355,45+ mins,59.355
Very High,E236,AGRRES13DEL01,clear sky,Buffet,motorcycle,35,4.8,27.159.795,7.804.299,27.269.795,7.815.299,25.54,38,0,31.68,50.3,385873,8543,E236,28,26-35,Female,Medium,Medium,Bangalore,Mughlai,Wanowrie,Pune,Taco Mania,300,3.9,50,Mexican,Wanowrie,77,45.27,45+ mins,45.27
Very High,918,HYDRES12DEL01,haze,Buffet,motorcycle,26,5,17.429.585,78.392.621,17.539.585,78.502.621,23.55,57,0,25.61,53.95,3830,8558,918,32,26-35,Female,Medium,Medium,Bangalore,Biryani,Koregaon Park,Pune,Prem'S,1200,4.2,100,"North Indian,Chinese,Continental,Asian,Desserts,Beverages",Koregaon Park,53,48.555,45+ mins,48.555
Very High,38D5,HYDRES07DEL02,haze,Drinks,electric_scooter,24,4.7,17.424.114,78.347.554,17.554.114,78.477.554,23.69,57,0,30.66,72.6,32840,8563,38D5,39,36-45,Male,Medium,Medium,Bangalore,Mughlai,Powai,Mumbai,Aamchi Mumbai Snacks,200,4.2,100,Fast Food,Chandivali,46,65.34,45+ mins,65.34
Very High,1ABC,MYSRES12DEL02,clear sky,Buffet,motorcycle,33,4,12.284.747,76.625.861,12.364.747,76.705.861,20.81,67,0,18.25,48.15,24162,8574,1ABC,38,36-45,Male,Low,High,Bangalore,Desserts,Rohini,Delhi,Domino'S Pizza,400,4.3,500,Pizzas,Nn Mall Sector- 3,30,43.335,21-30 mins,43.335
Very High,9FB3,MYSRES12DEL01,clear sky,Meal,scooter,25,3.2,12.284.747,76.625.861,12.394.747,76.735.861,20.7,67,0,26.72,51.65,133417,8583,9FB3,59,46+,Male,High,Low,Bangalore,South Indian,Ghatkopar,Mumbai,Malvani Chaska,300,4.2,100,North Indian  Seafood,Ghatkopar Vikhroli,59,46.485,45+ mins,46.485
Very High,DCD,CHENRES07DEL03,overcast clouds,Drinks,electric_scooter,29,4.6,13.081.878,80.248.519,13.171.878,80.338.519,28.43,82,0,22.32,71.65,454171,8593,DCD,48,46+,Female,Medium,Medium,Bangalore,Mughlai,Navrangpura,Ahmedabad,Oye! Tandoor,200,2.9,80,"Indian,Arabian",Navrangpura,44,64.485,31-45 mins,64.485
Very High,5D33,BANGRES010DEL01,haze,Snack,motorcycle,31,4.3,12.933.298,77.614.293,13.043.298,77.724.293,22.54,74,0,22.54,52.85,129627,8595,5D33,60,46+,Male,Low,Medium,Bangalore,South Indian,Pankaj Nagar,Surat,Bonanza Natural Ice Cream,150,4.4,20,"Ice Cream,Beverages",Honey Park Road,49,47.565,45+ mins,47.565
Very High,E08D,DEHRES010DEL03,clear sky,Buffet,motorcycle,37,4.9,30.328.174,78.049.117,30.468.174,78.189.117,13.72,89,0,45.47,107.3,51932,8603,E08D,27,26-35,Female,Low,Low,Bangalore,Chinese,Rohini,Delhi,Khalsa Dhaba,500,2.9,80,North Indian,Sector 2,35,96.57,31-45 mins,96.57
Very High,7B6D,CHENRES010DEL03,overcast clouds,Drinks,motorcycle,28,4.8,13.066.762,80.251.865,13.156.762,80.341.865,28.44,82,0,22.5,69.65,361543,8607,7B6D,56,46+,Male,Medium,Low,Bangalore,South Indian,Sector 29,Delhi,Rozi Roti,300,2.9,80,"Biryani,Mughlai,North Indian,Tandoor",Rohini,49,62.685,45+ mins,62.685
Very High,301E,BANGRES19DEL03,haze,Drinks,motorcycle,30,4.5,12.914.264,776.784,13.004.264,777.684,23.15,74,0,21.25,58.25,410266,8614,301E,18,18-25,Male,Medium,Medium,Bangalore,Punjabi,Rohini,Delhi,Wow! China,400,3.5,20,"Tibetan,Fast Food,Chinese,Asian,Snacks,Continental,Desserts,Beverages",Rohini Wk,39,52.425,31-45 mins,52.425
Very High,CAE8,AGRRES03DEL02,clear sky,Meal,scooter,24,4.7,27.160.832,78.011.608,27.290.832,78.141.608,25.54,38,0,40.33,54.3,397492,8617,CAE8,50,46+,Male,Low,Low,Bangalore,Mughlai,Prahlad Nagar,Ahmedabad,Grab And Go,250,4.3,100,"Punjabi,Chinese,Continental",Vejalpur,44,48.87,31-45 mins,48.87
Very High,16D7,BANGRES19DEL01,haze,Snack,motorcycle,24,4.1,12.914.264,776.784,13.024.264,777.884,22.86,74,0,24.79,75.1,106615,8628,16D7,26,26-35,Male,Medium,Medium,Bangalore,North Indian,Vadgaon Budruk,Pune,Deep Roll & Bhurji Centre,200,2.9,80,"North Indian,South Indian,Snacks,Fast Food,Beverages",Sinhgad Road,80,67.59,45+ mins,67.59
Very High,D13C,DEHRES09DEL02,clear sky,Buffet,motorcycle,31,4.6,30.332.735,78.054.222,30.462.735,78.184.222,11.16,87,0,36.47,96.05,77340,8634,D13C,22,18-25,Female,High,Low,Bangalore,North Indian,New Alipore,Kolkata,Mamamomo,300,4.2,50,Chinese,Alipore,83,86.445,45+ mins,86.445
Very High,A65E,JAPRES13DEL02,clear sky,Snack,motorcycle,27,4.7,26.846.156,758.023,26.976.156,759.323,24,29,0,25.82,62.15,448732,8638,A65E,50,46+,Male,Medium,Medium,Bangalore,Chinese,Kurla,Mumbai,Tavakkal Hotel,600,2.9,80,"Chinese,North Indian",Kurla,38,55.935,31-45 mins,55.935
Very High,E278,KNPRES01DEL03,clear sky,Drinks,scooter,37,3.6,26.483.672,80.320.708,26.623.672,80.460.708,22.97,42,0,28.6,73.8,287933,8643,E278,56,46+,Male,Low,Medium,Bangalore,Lucknowi,Chembur,Mumbai,Mind The Gap Burgers,200,4,50,"Fast Food,Snacks,American",Chembur,58,66.42,45+ mins,66.42
Very High,D260,ALHRES14DEL02,clear sky,Buffet,scooter,25,4.7,25.459.775,81.834.841,25.589.775,81.964.841,25.02,44,0,23.59,50.1,3074,8649,D260,43,36-45,Male,Medium,Low,Bangalore,Gujarati,Kalighat,Kolkata,Tamarind,1100,4.4,100,"North Indian,South Indian",Sarat Bose Road Desapriya Park,73,45.09,45+ mins,45.09
